timestep,active_agents,evacuated_agents,avg_panic,max_panic,avg_stamina
237,27,48,0.0,0.0,0.0
238,27,48,0.0,0.0,0.0
239,26,49,0.0,0.0,0.0
240,26,49,0.0,0.0,0.0
241,26,49,0.0,0.0,0.0
242,25,50,0.0,0.0,0.0
243,25,50,0.0,0.0,0.0
244,25,50,0.0,0.0,0.0
245,25,50,0.0,0.0,0.0
246,25,50,0.0,0.0,0.0
247,25,50,0.0,0.0,0.0
248,25,50,0.0,0.0,0.0
249,25,50,0.0,0.0,0.0
250,25,50,0.0,0.0,0.0
251,25,50,0.0,0.0,0.0
252,25,50,0.0,0.0,0.0
253,25,50,0.0,0.0,0.0
254,25,50,0.0,0.0,0.0
255,25,50,0.0,0.0,0.0
256,25,50,0.0,0.0,0.0
257,25,50,0.0,0.0,0.0
258,25,50,0.0,0.0,0.0
259,24,51,0.0,0.0,0.0
260,24,51,0.0,0.0,0.0
261,24,51,0.0,0.0,0.0
262,24,51,0.0,0.0,0.0
263,24,51,0.0,0.0,0.0
264,24,51,0.0,0.0,0.0
265,24,51,0.0,0.0,0.0
266,24,51,0.0,0.0,0.0
267,24,51,0.0,0.0,0.0
268,24,51,0.0,0.0,0.0
269,24,51,0.0,0.0,0.0
270,24,51,0.0,0.0,0.0
271,24,51,0.0,0.0,0.0
272,24,51,0.0,0.0,0.0
273,24,51,0.0,0.0,0.0
274,24,51,0.0,0.0,0.0
275,24,51,0.0,0.0,0.0
276,24,51,0.0,0.0,0.0
277,24,51,0.0,0.0,0.0
278,24,51,0.0,0.0,0.0
279,24,51,0.0,0.0,0.0
280,24,51,0.0,0.0,0.0
281,24,51,0.0,0.0,0.0
282,23,52,0.0,0.0,0.0
283,23,52,0.0,0.0,0.0
284,23,52,0.0,0.0,0.0
285,23,52,0.0,0.0,0.0
286,23,52,0.0,0.0,0.0
287,23,52,0.0,0.0,0.0
288,23,52,0.0,0.0,0.0
289,22,53,0.0,0.0,0.0
290,22,53,0.0,0.0,0.0
