timestep,agent_id,x,y,panic_level,evacuated,age,stamina,family_id
5,24,0,66,0.0,False,41,0.95,9
5,9,83,41,0.0,False,61,0.95,11
5,10,20,39,0.0,False,32,0.95,15
5,11,9,15,0.0,False,17,0.95,12
5,12,88,71,0.0,False,50,0.95,7
5,13,45,21,0.0,False,8,0.95,10
5,14,35,26,0.0,False,62,0.95,15
5,39,91,55,0.0,False,61,0.95,2
5,47,7,11,0.0,False,80,0.95,13
5,38,22,68,0.0,False,47,0.95,11
5,37,16,83,0.0,False,79,0.95,7
5,36,52,62,0.0,False,65,0.95,9
5,35,26,30,0.0,False,62,0.95,11
5,34,89,13,0.0,False,12,0.95,2
5,33,55,94,0.0,False,54,0.95,2
5,48,16,0,0.0,False,66,0.95,10
5,72,71,41,0.0,False,37,0.95,3
5,57,2,91,0.0,False,37,0.95,1
5,58,14,52,0.0,False,60,0.95,13
5,59,22,76,0.0,False,69,0.95,7
5,60,95,53,0.0,False,51,0.95,4
5,61,22,73,0.0,False,59,0.95,15
5,62,0,48,0.0,False,17,0.95,8
5,63,17,92,0.0,False,73,0.95,12
5,64,56,86,0.0,False,76,0.95,0
5,49,49,46,0.0,False,29,0.95,13
5,50,32,68,0.0,False,12,0.95,0
5,51,0,70,0.0,False,32,0.95,9
5,52,19,56,0.0,False,26,0.95,4
5,53,37,94,0.0,False,25,0.95,13
5,54,79,44,0.0,False,9,0.95,13
5,55,3,14,0.0,False,33,0.95,9
5,56,51,72,0.0,False,19,0.95,14
5,41,70,15,0.0,False,59,0.95,10
5,42,80,65,0.0,False,60,0.95,2
5,43,16,60,0.0,False,34,0.95,13
5,44,64,5,0.0,False,31,0.95,2
5,45,2,13,0.0,False,48,0.95,4
5,7,46,29,0.0,False,31,0.95,1
5,16,50,10,0.0,False,18,0.95,1
5,15,62,71,0.0,False,67,0.95,4
5,6,47,1,0.0,False,29,0.95,0
5,5,75,35,0.0,False,30,0.95,3
5,4,50,50,0.0,False,7,0.95,1
5,3,17,23,0.0,False,22,0.95,9
5,2,66,37,0.0,False,46,0.95,4
5,1,3,4,0.0,False,11,0.95,2
5,8,76,31,0.0,False,70,0.95,13
5,40,3,39,0.0,False,29,0.95,15
5,74,3,50,0.0,False,63,0.95,3
5,69,85,89,0.0,False,65,0.95,11
5,70,82,48,0.0,False,13,0.95,4
5,68,92,87,0.0,False,12,0.95,11
5,67,64,67,0.0,False,29,0.95,9
5,46,86,25,0.0,False,50,0.95,3
5,73,73,3,0.0,False,76,0.95,6
5,71,71,0,0.0,False,56,0.95,13
